data,nome,peso,repeticao,cardio,tempo,peso_add,rep_add
05/09/23,Stiff,42,12,,,,
05/09/23,Stiff,42,12,,,,
05/09/23,Stiff,42,11,,,,
05/09/23,Stiff,42,10,,,,
05/09/23,Flexao de joelho na extensora,9,12,,,,
05/09/23,Flexao de joelho na extensora,9,10,,,,
05/09/23,Flexao de joelho na extensora,9,10,,,,
05/09/23,Flexao de joelho na extensora,9,9,,,,
05/09/23,Bom dia,20,12,,,,
05/09/23,Bom dia,20,10,,,,
05/09/23,Bom dia,20,10,,,,
05/09/23,Bom dia,20,11,,,,
05/09/23,Mesa Flexora,41,12,,,,
05/09/23,Mesa Flexora,45,10,,,,
05/09/23,Mesa Flexora,45,8,,,,
05/09/23,Mesa Flexora,45,8,,,,
05/09/23,Agachamento Smith,50,12,,,,
05/09/23,Agachamento Smith,50,10,,,,
05/09/23,Agachamento Smith,50,10,,,,
05/09/23,Agachamento Smith,50,10,,,,
05/09/23,Afundo bulgaro,10,12,,,,
05/09/23,Afundo bulgaro,10,10,,,,
05/09/23,Afundo bulgaro,10,10,,,,
05/09/23,Leg 45,200,10,,,,
05/09/23,Leg 45,200,10,,,,
05/09/23,Leg 45,200,10,,,,
05/09/23,Leg 45,200,10,,,,
05/09/23,Agachamento sumo,36,11,,,,
05/09/23,Agachamento sumo,36,11,,,,
05/09/23,Agachamento sumo,36,10,,,,
05/09/23,Agachamento sumo,36,10,,,,
06/09/2023,Remada baixa,82,12,,,,
06/09/2023,Remada baixa,86,12,,,,
06/09/2023,Remada baixa,86,12,,,,
06/09/2023,Remada baixa,86,12,,,,
06/09/2023,Remada curvada com barra,30,12,,,,
06/09/2023,Remada curvada com barra,35,12,,,,
06/09/2023,Remada curvada com barra,35,10,,,,
06/09/2023,Remada curvada com barra,35,10,,,,
06/09/2023,Remada no Smith,15,,,,,
06/09/2023,Remada no Smith,12,,,,,
06/09/2023,Remada no Smith,10,,,,,
06/09/2023,Remada no Smith,11,,,,,
06/09/2023,Pulldown,45,10,,,,
06/09/2023,Pulldown,45,12,,,,
06/09/2023,Pulldown,50,10,,,,
06/09/2023,Pulldown,50,10,,,,
06/09/2023,Rosca unilateral na polia,9,12,,,,
06/09/2023,Rosca unilateral na polia,14,12,,,,
06/09/2023,Rosca unilateral na polia,16,12,,,,
06/09/2023,Rosca unilateral na polia,18,11,,,,
06/09/2023,Puxador aberto,59,12,,,,
06/09/2023,Puxador aberto,59,10,,,,
06/09/2023,Puxador aberto,59,8,,,,
06/09/2023,Puxador aberto,59,8,,,,
06/09/2023,Puxador aberto,45,4,,,,
06/09/2023,Puxador aberto,32,5,,,,
06/09/2023,Rosca direta barra,30,9,,,,
06/09/2023,Rosca direta barra,26,11,,,,
06/09/2023,Rosca direta barra,26,10,,,,
06/09/2023,Rosca direta barra,26,10,,,,
06/09/2023,Rosca punho,14,10,,,,
06/09/2023,Rosca punho,14,10,,,,
06/09/2023,Rosca punho,14,9,,,,
06/09/2023,Rosca punho,14,8,,,,
06/09/2023,Rosca Scott,22,7,,,,
06/09/2023,Rosca Scott,22,8,,,,
06/09/2023,Rosca Scott,22,7,,,,
06/09/2023,Rosca Scott,22,6,,,,
08/09/2023,Triceps Kickback,9,12,,,,
08/09/2023,Triceps Kickback,14,11,,,,
08/09/2023,Triceps Kickback,14,11,,,,
08/09/2023,Triceps Kickback,14,10,,,,
08/09/2023,Obliquo Cross-over,23,12,,,,
