data,nome,peso,repeticao,cardio,tempo,peso_add,rep_add
05/09/23,Stiff,42,12,,,,
05/09/23,Stiff,42,12,,,,
05/09/23,Stiff,42,11,,,,
05/09/23,Stiff,42,10,,,,
05/09/23,Flexao De Joelho Na Extensora,9,12,,,,
05/09/23,Flexao De Joelho Na Extensora,9,10,,,,
05/09/23,Flexao De Joelho Na Extensora,9,10,,,,
05/09/23,Flexao De Joelho Na Extensora,9,9,,,,
05/09/23,Bom Dia,20,12,,,,
05/09/23,Bom Dia,20,10,,,,
05/09/23,Bom Dia,20,10,,,,
05/09/23,Bom Dia,20,11,,,,
05/09/23,Mesa Flexora,41,12,,,,
05/09/23,Mesa Flexora,45,10,,,,
05/09/23,Mesa Flexora,45,8,,,,
05/09/23,Mesa Flexora,45,8,,,,
05/09/23,Agachamento Smith,50,12,,,,
05/09/23,Agachamento Smith,50,10,,,,
05/09/23,Agachamento Smith,50,10,,,,
05/09/23,Agachamento Smith,50,10,,,,
05/09/23,Afundo Bulgaro,10,12,,,,
05/09/23,Afundo Bulgaro,10,10,,,,
05/09/23,Afundo Bulgaro,10,10,,,,
05/09/23,Leg 45,200,10,,,,
05/09/23,Leg 45,200,10,,,,
05/09/23,Leg 45,200,10,,,,
05/09/23,Leg 45,200,10,,,,
05/09/23,Agachamento Sumo,36,11,,,,
05/09/23,Agachamento Sumo,36,11,,,,
05/09/23,Agachamento Sumo,36,10,,,,
05/09/23,Agachamento Sumo,36,10,,,,
06/09/2023,Remada Baixa,82,12,,,,
06/09/2023,Remada Baixa,86,12,,,,
06/09/2023,Remada Baixa,86,12,,,,
06/09/2023,Remada Baixa,86,12,,,,
06/09/2023,Remada Curvada Com Barra,30,12,,,,
06/09/2023,Remada Curvada Com Barra,35,12,,,,
06/09/2023,Remada Curvada Com Barra,35,10,,,,
06/09/2023,Remada Curvada Com Barra,35,10,,,,
06/09/2023,Remada No Smith,15,,,,,
06/09/2023,Remada No Smith,12,,,,,
06/09/2023,Remada No Smith,10,,,,,
06/09/2023,Remada No Smith,11,,,,,
06/09/2023,Pulldown,45,10,,,,
06/09/2023,Pulldown,45,12,,,,
06/09/2023,Pulldown,50,10,,,,
06/09/2023,Pulldown,50,10,,,,
06/09/2023,Rosca Unilateral Na Polia,9,12,,,,
06/09/2023,Rosca Unilateral Na Polia,14,12,,,,
06/09/2023,Rosca Unilateral Na Polia,16,12,,,,
06/09/2023,Rosca Unilateral Na Polia,18,11,,,,
06/09/2023,Puxador Aberto,59,12,,,,
06/09/2023,Puxador Aberto,59,10,,,,
06/09/2023,Puxador Aberto,59,8,,,,
06/09/2023,Puxador Aberto,59,8,,,,
06/09/2023,Puxador Aberto,45,4,,,,
06/09/2023,Puxador Aberto,32,5,,,,
06/09/2023,Rosca Direta Barra,30,9,,,,
06/09/2023,Rosca Direta Barra,26,11,,,,
06/09/2023,Rosca Direta Barra,26,10,,,,
06/09/2023,Rosca Direta Barra,26,10,,,,
06/09/2023,Rosca Punho,14,10,,,,
06/09/2023,Rosca Punho,14,10,,,,
06/09/2023,Rosca Punho,14,9,,,,
06/09/2023,Rosca Punho,14,8,,,,
06/09/2023,Rosca Scott,22,7,,,,
06/09/2023,Rosca Scott,22,8,,,,
06/09/2023,Rosca Scott,22,7,,,,
06/09/2023,Rosca Scott,22,6,,,,
08/09/2023,Triceps Kickback,9,12,,,,
08/09/2023,Triceps Kickback,14,11,,,,
08/09/2023,Triceps Kickback,14,11,,,,
